,平均打率,安打差,二塁打差,三塁打差,本塁打差,塁打差,得点差,三振差,四球差,死球差,犠打差,犠飛差,盗塁差,盗塁死差,併殺打差,平均出塁率,平均長打率,平均ＯＰＳ,平均得点圏,登板差,先発差,完投差,ＱＳ差,勝利差,敗戦差,ホールド差,セーブ差,被安打差,被本塁打差,奪三振差,与四球差,与死球差,暴投差,ボーク差,失点差,自責点差,防御率,投球回,勝率,奪三振率,被打率,Ｋ／ＢＢ,ＷＨＩＰ,point
アウェー,0.21777777777777776,13.0,-13.0,-1.0,11.0,31.0,5.0,89.0,19.0,-6.0,-5.0,1.0,-29.0,0.0,10.0,0.30000000000000004,0.3821111111111111,0.681888888888889,0.255,-1.0,-1.0,0.0,-2.0,-2.0,0.0,0.0,0.0,-4.0,-3.0,0.0,11.0,0.0,0.0,-1.0,-3.0,-8.0,3.3,46.1,0.333,10.49,0.268,3.38,1.38,1
ホーム,0.20255555555555554,-111.0,-34.0,-8.0,-11.0,-194.0,-69.0,16.0,-6.0,7.0,-2.0,-8.0,2.0,8.0,0.0,0.2848888888888889,0.32155555555555554,0.6066666666666667,0.20733333333333331,-8.0,7.0,0.0,8.0,6.0,0.0,-3.0,-1.0,30.0,4.0,32.0,4.0,1.0,-1.0,-1.0,3.0,3.0,1.79,65.1,0.875,7.99,0.212,4.46,0.98,1
アウェー,0.2638888888888889,111.0,34.0,8.0,11.0,194.0,69.0,-16.0,6.0,-7.0,2.0,8.0,-2.0,-8.0,0.0,0.3185555555555555,0.4205555555555555,0.7388888888888888,0.33355555555555555,8.0,-7.0,0.0,-8.0,-6.0,0.0,3.0,1.0,-30.0,-4.0,-32.0,-4.0,-1.0,1.0,1.0,-3.0,-3.0,4.03,22.1,0.5,10.48,0.244,2.89,1.34,8
ホーム,0.241,-62.0,-5.0,5.0,-1.0,-60.0,-31.0,-16.0,-41.0,0.0,-1.0,0.0,-26.0,-4.0,1.0,0.30377777777777776,0.4088888888888889,0.7123333333333333,0.25622222222222224,3.0,-10.0,0.0,-5.0,2.0,-1.0,1.0,0.0,-29.0,-1.0,-46.0,-14.0,0.0,0.0,0.0,-9.0,-8.0,2.7,20.0,0.8,4.95,0.253,2.75,1.15,2
アウェー,0.26488888888888895,62.0,5.0,-5.0,1.0,60.0,31.0,16.0,41.0,0.0,1.0,0.0,26.0,4.0,-1.0,0.34400000000000003,0.4342222222222223,0.7781111111111111,0.3093333333333333,-3.0,10.0,0.0,5.0,-2.0,1.0,-1.0,0.0,29.0,1.0,46.0,14.0,0.0,0.0,0.0,9.0,8.0,2.17,58.0,0.5,8.84,0.222,3.17,1.14,7
ホーム,0.22099999999999997,-125.0,-28.0,-2.0,-16.0,-205.0,-69.0,-26.0,-35.0,3.0,2.0,-1.0,27.0,4.0,-16.0,0.3055555555555555,0.3551111111111111,0.6607777777777779,0.36944444444444446,-1.0,-1.0,0.0,1.0,2.0,-3.0,0.0,0.0,-14.0,-2.0,-16.0,6.0,-1.0,0.0,0.0,-14.0,-9.0,2.84,44.1,1.0,4.87,0.233,1.0,1.38,9
アウェー,0.25788888888888883,125.0,28.0,2.0,16.0,205.0,69.0,26.0,35.0,-3.0,-2.0,1.0,-27.0,-4.0,16.0,0.3336666666666666,0.42155555555555557,0.7554444444444445,0.28177777777777785,1.0,1.0,0.0,-1.0,-2.0,3.0,0.0,0.0,14.0,2.0,16.0,-6.0,1.0,0.0,0.0,14.0,9.0,4.25,48.2,0.5,7.4,0.263,2.22,1.42,6
ホーム,0.2596666666666667,43.0,10.0,-1.0,7.0,72.0,11.0,17.0,7.0,13.0,2.0,-4.0,18.0,3.0,0.0,0.32388888888888884,0.4255555555555556,0.7495555555555556,0.2573333333333333,7.0,7.0,0.0,3.0,4.0,-1.0,0.0,0.0,33.0,3.0,32.0,15.0,3.0,1.0,0.0,14.0,14.0,3.6,55.0,0.8,8.02,0.245,2.58,1.27,7
アウェー,0.277,-43.0,-10.0,1.0,-7.0,-72.0,-11.0,-17.0,-7.0,-13.0,-2.0,4.0,-18.0,-3.0,0.0,0.3442222222222222,0.4328888888888889,0.777,0.2651111111111111,-7.0,-7.0,0.0,-3.0,-4.0,1.0,0.0,0.0,-33.0,-3.0,-32.0,-15.0,-3.0,-1.0,0.0,-14.0,-14.0,4.32,16.2,0.0,9.18,0.277,4.25,1.32,8
ホーム,0.24511111111111117,-90.0,-1.0,2.0,-15.0,-132.0,-48.0,-22.0,-46.0,-1.0,1.0,0.0,0.0,3.0,-3.0,0.3051111111111111,0.4076666666666666,0.7126666666666668,0.24044444444444446,4.0,-6.0,0.0,-2.0,-3.0,1.0,0.0,0.0,-6.0,-2.0,-25.0,4.0,0.0,1.0,0.0,-7.0,-9.0,3.29,38.1,0.25,5.63,0.221,1.85,1.17,3
アウェー,0.2517777777777778,90.0,1.0,-2.0,15.0,132.0,48.0,22.0,46.0,1.0,-1.0,0.0,0.0,-3.0,3.0,0.3225555555555555,0.4002222222222222,0.7228888888888888,0.298,-4.0,6.0,0.0,2.0,3.0,-1.0,0.0,0.0,6.0,2.0,25.0,-4.0,0.0,-1.0,0.0,7.0,9.0,4.4,47.0,0.667,9.38,0.221,5.44,1.0,2
ホーム,0.2524444444444444,-46.0,-7.0,-11.0,-28.0,-159.0,-75.0,-16.0,-15.0,-2.0,1.0,-6.0,-17.0,3.0,12.0,0.32033333333333336,0.40388888888888885,0.7244444444444444,0.2376666666666667,0.0,2.0,0.0,5.0,2.0,-2.0,0.0,0.0,1.0,-1.0,26.0,0.0,0.0,0.0,1.0,-9.0,-11.0,2.41,59.2,0.667,9.05,0.21,4.0,1.02,4
アウェー,0.2367777777777778,46.0,7.0,11.0,28.0,159.0,75.0,16.0,15.0,2.0,-1.0,6.0,17.0,-3.0,-12.0,0.29222222222222227,0.4211111111111111,0.7135555555555556,0.27388888888888885,0.0,-2.0,0.0,-5.0,-2.0,2.0,0.0,0.0,-1.0,1.0,-26.0,0.0,0.0,0.0,-1.0,9.0,11.0,5.48,44.1,0.333,6.9,0.262,2.27,1.35,6
ホーム,0.23866666666666664,-30.0,10.0,-4.0,-13.0,-67.0,-73.0,17.0,-69.0,-3.0,2.0,-8.0,-17.0,-6.0,-1.0,0.2914444444444444,0.36666666666666664,0.657888888888889,0.24555555555555555,3.0,6.0,0.0,4.0,1.0,1.0,0.0,0.0,27.0,0.0,37.0,14.0,0.0,3.0,1.0,11.0,6.0,3.31,49.0,0.4,8.63,0.275,2.61,1.45,3
アウェー,0.2511111111111111,30.0,-10.0,4.0,13.0,67.0,73.0,-17.0,69.0,3.0,-2.0,8.0,17.0,6.0,1.0,0.33111111111111113,0.39399999999999996,0.7250000000000001,0.272,-3.0,-6.0,0.0,-4.0,-1.0,-1.0,0.0,0.0,-27.0,0.0,-37.0,-14.0,0.0,-3.0,-1.0,-11.0,-6.0,5.14,21.0,0.333,4.29,0.317,2.5,1.43,2
ホーム,0.259,-7.0,-12.0,2.0,0.0,-15.0,-34.0,8.0,-19.0,-19.0,2.0,-2.0,-5.0,0.0,-11.0,0.3231111111111111,0.4377777777777777,0.760888888888889,0.23000000000000004,0.0,0.0,0.0,1.0,3.0,-4.0,0.0,0.0,3.0,6.0,-10.0,-4.0,1.0,0.0,-2.0,-1.0,2.0,4.91,51.1,0.714,7.54,0.287,2.69,1.44,4
アウェー,0.235,7.0,12.0,-2.0,0.0,15.0,34.0,-8.0,19.0,19.0,-2.0,2.0,5.0,0.0,11.0,0.3121111111111111,0.38022222222222224,0.6923333333333334,0.3274444444444444,0.0,0.0,0.0,-1.0,-3.0,4.0,0.0,0.0,-3.0,-6.0,10.0,4.0,-1.0,0.0,2.0,1.0,-2.0,4.59,51.0,0.25,9.35,0.272,2.65,1.47,10
ホーム,0.2488888888888889,46.0,25.0,5.0,1.0,84.0,54.0,2.0,40.0,2.0,-3.0,8.0,-8.0,0.0,-4.0,0.31533333333333335,0.3924444444444444,0.7077777777777777,0.2807777777777778,-7.0,-7.0,0.0,-5.0,-5.0,-3.0,0.0,0.0,-30.0,-4.0,-42.0,-11.0,2.0,-4.0,0.0,-6.0,-6.0,10.24,9.2,0.0,12.1,0.293,4.33,1.55,0
アウェー,0.22344444444444445,-46.0,-25.0,-5.0,-1.0,-84.0,-54.0,-2.0,-40.0,-2.0,3.0,-8.0,8.0,0.0,4.0,0.2732222222222222,0.348,0.6212222222222221,0.2977777777777778,7.0,7.0,0.0,5.0,5.0,3.0,0.0,0.0,30.0,4.0,42.0,11.0,-2.0,4.0,0.0,6.0,6.0,3.02,50.2,0.625,9.77,0.222,3.93,1.11,3
ホーム,0.28,31.0,-1.0,3.0,-22.0,-30.0,-6.0,-63.0,-32.0,-3.0,0.0,-7.0,10.0,3.0,7.0,0.348,0.4103333333333334,0.7583333333333333,0.28855555555555557,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,20.0,7.0,9.0,3.0,5.0,-1.0,1.0,9.0,9.0,3.27,55.0,0.714,9.0,0.237,3.44,1.2,0
アウェー,0.2568888888888889,-31.0,1.0,-3.0,22.0,30.0,6.0,63.0,32.0,3.0,0.0,7.0,-10.0,-3.0,-7.0,0.33744444444444444,0.4278888888888889,0.7655555555555554,0.2824444444444445,-1.0,-1.0,0.0,-3.0,-1.0,-1.0,0.0,0.0,-20.0,-7.0,-9.0,-3.0,-5.0,1.0,-1.0,-9.0,-9.0,2.08,47.2,0.8,8.69,0.179,3.54,0.9,8
ホーム,0.211,-118.0,-13.0,2.0,-10.0,-157.0,-62.0,33.0,-57.0,-2.0,1.0,-5.0,-15.0,2.0,-14.0,0.2674444444444444,0.37388888888888894,0.6415555555555554,0.19955555555555557,-4.0,-4.0,0.0,1.0,1.0,-6.0,0.0,0.0,-42.0,1.0,-6.0,2.0,0.0,-1.0,-1.0,-23.0,-15.0,3.97,34.0,0.5,6.88,0.22,1.86,1.21,3
